SynsetTerms,PosScore,NegScore
unaccessible,0.50,0.13
remote,0.13,0.00
untrodden,0.13,0.25
unreached,0.00,0.00
ungetatable,0.00,0.63
accommodative,0.50,0.00
obliging,0.75,0.00
unobliging,0.25,0.25
uncooperative,0.13,0.25
accurate,0.50,0.00
faithful,0.63,0.00
dead-on,0.63,0.25
high-fidelity,0.50,0.13
surgical,0.50,0.00
straight,0.00,0.00
true,0.13,0.00
veracious,0.88,0.00
inaccurate,0.13,0.63
outside,0.00,0.00
wrong,0.13,0.75
unfaithful,0.00,0.50
wide_of_the_mark,0.00,0.63
accustomed,0.13,0.00
wont_to,0.00,0.38
unaccustomed,0.00,0.75
new,0.00,0.13
unused,0.00,0.13
acidic,0.00,0.13
acid,0.00,0.38
acid-forming,0.00,0.50
alkaline,0.00,0.00
alkalescent,0.13,0.38
basic,0.25,0.00
base-forming,0.13,0.13
saltlike,0.25,0.13
amphoteric,0.50,0.00
acid-loving,0.00,0.25
aciduric,0.00,0.00
alkaline-loving,0.00,0.25
acknowledged,0.13,0.00
recognized,0.50,0.00
self-confessed,0.00,0.13
assumptive,0.25,0.00
declarable,0.38,0.00
granted,0.00,0.00
putative,0.13,0.00
unacknowledged,0.00,0.63
unvalued,0.00,0.38
unavowed,0.25,0.00
unconfessed,0.00,0.38
unrecognized,0.00,0.50
acquisitive,0.00,0.00
accumulative,0.38,0.00
prehensile,0.00,0.00
possessive,0.00,0.00
plundering,0.00,0.00
predatory,0.00,0.00
voracious,0.25,0.50
sordid,0.00,0.50
unacquisitive,0.00,0.50
acropetal,0.00,0.00
basipetal,0.00,0.00
active,0.50,0.13
astir,0.00,0.00
gymnastic,0.38,0.00
spry,0.00,0.00
hot,0.50,0.00
overactive,0.25,0.00
on_the_go,0.13,0.00
sporty,0.25,0.00
inactive,0.38,0.50
deskbound,0.13,0.00
dormant,0.25,0.38
underactive,0.00,0.63
torpid,0.25,0.13
sedentary,0.13,0.00
active,0.00,0.00
activated,0.00,0.13
inactive,0.00,0.38
off,0.00,0.63
retired,0.00,0.63
active,0.00,0.00
brisk,0.25,0.13
bustling,0.50,0.00
busy,0.38,0.25
going,0.00,0.50
open,0.00,0.00
springy,0.13,0.38
inactive,0.25,0.00
dark,0.00,0.00
dead,0.25,0.00
sluggish,0.00,0.50
unused,0.13,0.63
strikebound,0.00,0.00
active,0.38,0.50
progressive,0.00,0.25
inactive,0.00,0.38
dead-end,0.13,0.13
flat,0.00,0.00
indolent,0.00,0.00
latent,0.13,0.25
quiescent,0.00,0.63
active,0.13,0.00
activistic,0.00,0.00
hands-on,0.00,0.00
proactive,0.00,0.00
passive,0.38,0.25
hands-off,0.00,0.63
unresisting,0.00,0.75
active,0.00,0.50
eruptive,0.13,0.50
inactive,0.00,0.00
quiescent,0.00,0.25
extinct,0.00,0.00
dead,0.25,0.63
active,0.00,0.50
live,0.50,0.00
dynamic,0.00,0.00
stative,0.00,0.00
active,0.00,0.00
passive,0.00,0.00
active,0.25,0.00
activated,0.13,0.00
counteractive,0.00,0.50
surface-active,0.00,0.00
inactive,0.00,0.63
quiescent,0.13,0.63
active,0.38,0.00
quiet,0.00,0.50
existent,0.13,0.50
effective,0.50,0.00
potential,0.00,0.25
latent,0.00,0.63
acute,0.00,0.50
subacute,0.00,0.00
chronic,0.00,0.38
degenerative,0.00,0.38
virulent,0.50,0.00
highly_infective,0.13,0.38
deadly,0.13,0.25
avirulent,0.00,0.88
adaptive,0.25,0.00
reconciling,0.63,0.13
adaptational,0.00,0.00
adjustive,0.63,0.13
maladaptive,0.50,0.38
nonadaptive,0.00,0.00
maladjustive,0.38,0.25
addicted,0.00,0.00
alcoholic,0.00,0.00
strung-out,0.00,0.00
unaddicted,0.00,0.13
clean,0.50,0.00
habit-forming,0.00,0.63
nonaddictive,0.25,0.50
additive,0.00,0.38
cumulative,0.00,0.00
addible,0.50,0.00
extra,0.00,0.00
completing,0.13,0.13
incremental,0.00,0.00
intercalary,0.00,0.00
summative,0.00,0.00
supplementary,0.00,0.00
subtractive,0.25,0.00
ablative,0.63,0.00
reductive,0.00,0.63
addressed,0.13,0.00
self-addressed,0.00,0.00
unaddressed,0.00,0.13
equal,0.00,0.00
up_to,0.38,0.25
competent,0.25,0.00
unequal,0.00,0.50
wanting,0.00,0.63
unequal_to,0.00,0.25
understaffed,0.00,0.75
adhesive,0.25,0.50
adherent,0.00,0.00
agglutinative,0.00,0.00
bondable,0.25,0.00
tenacious,0.00,0.00
cohesive,0.00,0.50
viscous,0.00,0.00
icky,0.00,0.00
gum-like,0.00,0.00
gummy,0.00,0.25
tarry,0.00,0.00
self-sealing,0.00,0.50
stick-on,0.00,0.50
sticky,0.00,0.00
nonadhesive,0.00,0.75
nonviscid,0.00,0.63
nonresiny,0.00,0.50
ungummed,0.00,0.75
procedural,0.00,0.00
substantive,0.13,0.00
adoptable,0.75,0.00
unadoptable,0.00,0.00
decorated,0.38,0.00
spangly,0.00,0.38
bedaubed,0.00,0.50
spectacled,0.00,0.25
raised,0.00,0.00
buttony,0.00,0.13
carbuncled,0.00,0.00
cloisonne,0.00,0.00
tinselly,0.00,0.00
plumed,0.00,0.25
tufted,0.00,0.00
crested,0.00,0.00
crocketed,0.00,0.00
plumy,0.00,0.13
ruffled,0.00,0.13
fringed,0.00,0.13
gilt-edged,0.13,0.00
inflamed,0.00,0.13
inlaid,0.00,0.13
inwrought,0.00,0.00
tessellated,0.00,0.00
mounted,0.00,0.25
wainscoted,0.00,0.13
studded,0.00,0.38
tapestried,0.00,0.13
tasselled,0.00,0.13
tricked-out,0.00,0.13
tufted,0.00,0.13
undecorated,0.25,0.63
unornamented,0.13,0.25
untufted,0.38,0.38
cholinergic,0.00,0.00
anticholinergic,0.00,0.00
adroit,0.25,0.00
neat,0.63,0.00
ingenious,0.63,0.00
coordinated,0.00,0.00
dextrous,0.25,0.25
handy,0.25,0.00
nimble-fingered,0.00,0.00
quick-witted,0.50,0.00
maladroit,0.25,0.38
left-handed,0.13,0.75
tactless,0.50,0.13
uncoordinated,0.13,0.38
unmechanical,0.00,0.25
advantageous,0.63,0.00
good,0.63,0.00
positive,0.75,0.00
preferential,0.13,0.25
disadvantageous,0.75,0.25
negative,0.00,0.88
adventurous,0.63,0.25
venturous,0.38,0.13
sporting,0.25,0.25
swashbuckling,0.38,0.25
unadventurous,0.25,0.38
safe,0.00,0.00
advisable,0.63,0.00
better,0.75,0.00
well,0.63,0.00
unadvisable,0.13,0.63
well-advised,0.50,0.00
considered,0.00,0.00
unadvised,0.00,0.13
aerophilous,0.00,0.00
aerobiotic,0.00,0.00
oxidative,0.00,0.00
anaerobiotic,0.00,0.38
aerobic,0.50,0.00
anaerobic,0.00,0.25
esthetical,0.63,0.00
artistic,0.63,0.00
enhancive,0.00,0.00
painterly,0.25,0.00
sensuous,0.38,0.13
unaesthetic,0.50,0.50
unartistic,0.13,0.50
affected,0.38,0.00
impressed,0.50,0.50
struck,0.00,0.38
stage-struck,0.13,0.00
subject,0.00,0.63
taken,0.13,0.50
wonder-struck,0.00,0.50
unaffected,0.13,0.13
immune,0.00,0.63
superior,0.13,0.00
unimpressed,0.00,0.63
untouched,0.25,0.63
unnatural,0.00,0.00
strained,0.00,0.00
stilted,0.00,0.25
strained,0.13,0.63
elocutionary,0.00,0.25
mannered,0.00,0.38
plummy,0.25,0.13
unaffected,0.75,0.13
natural,0.25,0.00
unmannered,0.00,0.38
unselfconscious,0.13,0.13
unstilted,0.00,0.00
affirmatory,0.50,0.00
assentient,0.25,0.00
negative,0.00,0.75
dissident,0.00,0.63
acceptive,0.38,0.25
accepting,0.38,0.13
rejective,0.13,0.50
dismissive,0.13,0.88
repudiative,0.00,0.00
afloat,0.00,0.00
adrift,0.00,0.00
floating,0.00,0.00
waterborne,0.00,0.00
aground,0.00,0.00
afraid,0.00,0.50
acrophobic,0.00,0.75
afeared,0.00,0.13
shocked,0.25,0.00
agoraphobic,0.00,0.75
alarmed,0.00,0.63
algophobic,0.00,0.88
apprehensive,0.13,0.63
hangdog,0.13,0.25
claustrophobic,0.00,0.75
fearful,0.13,0.38
scared,0.00,0.13
horror-struck,0.00,0.25
hunted,0.63,0.13
hydrophobic,0.00,0.75
mysophobic,0.00,0.75
terrified,0.00,0.00
numb,0.00,0.75
shitless,0.00,0.38
terror-struck,0.00,0.50
triskaidekaphobic,0.00,0.63
unnerved,0.00,0.63
white-lipped,0.13,0.00
xenophobic,0.00,0.75
unafraid,0.25,0.13
unapprehensive,0.00,0.63
unshrinking,0.25,0.38
unfrightened,0.63,0.25
aggressive,0.50,0.00
combative,0.50,0.00
militant,0.50,0.13
high-pressure,0.13,0.13
hostile,0.00,0.00
in-your-face,0.25,0.00
obstreperous,0.13,0.25
vulturous,0.00,0.00
rough,0.25,0.00
scrappy,0.38,0.13
truculent,0.25,0.50
unaggressive,0.00,0.63
low-pressure,0.13,0.38
agitated,0.00,0.50
worked_up,0.25,0.50
overwrought,0.00,0.13
shaken,0.00,0.50
hectic,0.38,0.38
phrenetic,0.25,0.50
hysterical,0.13,0.63
psychedelic,0.00,0.50
wild-eyed,0.00,0.00
unagitated,0.13,0.63
agitated,0.00,0.13
turbulent,0.00,0.00
churning,0.25,0.00
jolted,0.00,0.00
ruffled,0.00,0.00
seething,0.25,0.25
stirred,0.00,0.00
unagitated,0.00,0.75
nonturbulent,0.00,0.25
unstirred,0.50,0.25
agreeable,0.50,0.00
disagreeable,0.13,0.88
vexing,0.00,0.50
harsh,0.33,0.67
trying,0.00,0.63
unsweet,0.00,0.63
air-to-surface,0.00,0.00
air-to-air,0.00,0.00
surface-to-air,0.00,0.00
watchful,0.50,0.00
wakeful,0.38,0.00
fly,0.13,0.63
wide-awake,0.50,0.00
sleepless,0.13,0.38
unwatchful,0.25,0.50
algorithmic,0.00,0.00
recursive,0.00,0.00
heuristic,0.00,0.00
trial-and-error,0.00,0.00
alienable,0.00,0.00
appropriable,0.00,0.00
transferrable,0.13,0.00
unalienable,0.13,0.38
inviolable,0.13,0.63
non-negotiable,0.50,0.00
untransferable,0.13,0.50
live,0.13,0.00
liveborn,0.38,0.13
viable,0.50,0.00
vital,0.00,0.00
dead,0.00,0.75
gone,0.00,0.50
assassinated,0.00,0.00
exsanguinous,0.00,0.50
brain_dead,0.00,0.00
pulseless,0.00,0.75
cold,0.00,0.38
d.o.a.,0.00,0.00
deathly,0.00,0.38
defunct,0.00,0.00
doomed,0.00,0.38
executed,0.00,0.00
fallen,0.00,0.25
late,0.13,0.00
lifeless,0.00,0.50
murdered,0.00,0.00
nonviable,0.00,0.63
slain,0.00,0.00
stillborn,0.25,0.50
stone-dead,0.00,0.38
apocrine,0.00,0.00
eccrine,0.25,0.00
artesian,0.00,0.00
subartesian,0.00,0.13
live,0.50,0.00
in_play,0.00,0.00
living,0.00,0.13
dead,0.00,0.63
out,0.00,0.13
lifeless,0.00,0.75
out_of_play,0.00,0.00
alphabetical,0.00,0.00
abecedarian,0.00,0.00
alphabetized,0.00,0.00
analphabetic,0.00,0.13
altricial,0.00,0.00
precocial,0.25,0.00
selfless,0.88,0.00
self-centred,0.38,0.00
self-involved,0.50,0.00
ambiguous,0.13,0.00
double-barrelled,0.50,0.00
double-edged,0.00,0.00
oracular,0.25,0.13
left-handed,0.38,0.38
multivalent,0.38,0.00
polysemous,0.00,0.00
uncertain,0.38,0.38
unambiguous,0.38,0.00
monosemous,0.13,0.00
ambitious,0.50,0.13
pushy,0.63,0.00
wishful,0.50,0.00
driven,0.38,0.00
would-be,0.25,0.00
overambitious,0.38,0.25
unambitious,0.50,0.00
shiftless,0.25,0.50
ametropic,0.00,0.25
emmetropic,0.00,0.00
ample,0.00,0.00
good,0.00,0.00
generous,0.25,0.00
wide-cut,0.00,0.00
stingy,0.00,0.63
spare,0.00,0.50
exiguous,0.13,0.63
hand-to-mouth,0.00,0.50
hardscrabble,0.00,0.38
paltry,0.00,0.00
anabolic,0.50,0.00
energy-storing,0.00,0.00
katabolic,0.00,0.75
energy-releasing,0.00,0.00
anaclinal,0.00,0.00
cataclinal,0.00,0.00
stigmatic,0.00,0.25
astigmatic,0.00,0.00
anticlinal,0.00,0.00
synclinal,0.00,0.00
anadromous,0.00,0.00
catadromous,0.00,0.00
diadromous,0.00,0.00
anabatic,0.00,0.00
katabatic,0.00,0.00
anal_retentive,0.00,0.00
oral,0.00,0.00
linear,0.00,0.00
digital,0.00,0.00
analytical,0.13,0.00
synthetical,0.00,0.00
uninflected,0.13,0.00
isolating,0.00,0.00
synthetic,0.00,0.00
polysynthetic,0.00,0.00
analytical,0.00,0.00
synthetical,0.00,0.00
inflectional,0.13,0.13
derivational,0.00,0.25
apocarpous,0.00,0.00
syncarpous,0.00,0.00
angry,0.38,0.38
provoked,0.00,0.50
maddened,0.25,0.25
black,0.13,0.50
irascible,0.13,0.63
hot_under_the_collar,0.13,0.13
sore,0.13,0.00
umbrageous,0.00,0.75
ireful,0.13,0.50
livid,0.13,0.00
smouldering,0.50,0.25
wrothful,0.00,0.25
unangry,0.00,0.13
resentful,0.00,0.88
bitter,0.50,0.25
rancorous,0.38,0.25
unresentful,0.00,0.50
unbitter,0.00,0.75
sentient,0.25,0.50
sensate,0.13,0.25
insentient,0.13,0.50
unfeeling,0.25,0.50
animate,0.00,0.00
nonliving,0.00,0.75
nonconscious,0.00,0.00
animated,0.38,0.00
spirited,0.38,0.00
vital,0.38,0.25
revived,0.50,0.13
unanimated,0.38,0.50
lifeless,0.25,0.00
wan,0.25,0.50
enlivened,0.50,0.00
perked_up,0.88,0.00
unenlivened,0.00,0.63
animate,0.00,0.00
inanimate,0.00,0.00
anonymous,0.00,0.50
unnamed,0.00,0.00
onymous,0.00,0.00
binominal,0.00,0.00
pseudonymous,0.00,0.00
antemortem,0.00,0.00
postmortem,0.00,0.13
antecedent,0.00,0.00
prior,0.00,0.00
prevenient,0.38,0.13
preexisting,0.00,0.38
subsequent,0.00,0.00
sequent,0.00,0.00
ulterior,0.00,0.00
antrorse,0.00,0.00
retrorse,0.00,0.00
decurved,0.00,0.13
aquatic,0.00,0.00
marine,0.00,0.00
subaquatic,0.00,0.00
underwater,0.00,0.00
terrestrial,0.00,0.00
onshore,0.00,0.00
overland,0.00,0.00
amphibious,0.00,0.00
semiaquatic,0.00,0.00
preceding,0.00,0.13
above,0.00,0.13
above-named,0.00,0.13
foregoing,0.00,0.00
prefatory,0.00,0.00
precedent,0.00,0.00
premedical,0.00,0.00
propaedeutic,0.00,0.00
previous,0.00,0.00
succeeding,0.00,0.00
consecutive,0.00,0.38
ensuing,0.00,0.00
undermentioned,0.00,0.00
next,0.00,0.00
in_line,0.00,0.00
postmortem,0.00,0.00
precedented,0.38,0.00
unprecedented,0.00,0.00
unexampled,0.00,0.63
prehensile,0.00,0.00
nonprehensile,0.00,0.13
prenatal,0.00,0.13
perinatal,0.00,0.00
postpartum,0.00,0.13
preprandial,0.00,0.00
postprandial,0.00,0.00
prewar,0.00,0.00
postwar,0.00,0.00
retrograde,0.00,0.13
anterograde,0.00,0.13
antemeridian,0.00,0.00
ante_meridiem,0.00,0.00
postmeridian,0.00,0.00
post_meridiem,0.00,0.00
anterior,0.00,0.00
frontal,0.00,0.00
frontal,0.00,0.00
prefrontal,0.00,0.00
posterior,0.00,0.00
hinder,0.00,0.00
caudal,0.00,0.00
retral,0.00,0.00
dorsal,0.00,0.00
ventral,0.00,0.00
dorsoventral,0.00,0.00
appealable,0.50,0.00
unappealable,0.00,0.50
appendaged,0.00,0.00
unappendaged,0.00,0.63
appetizing,0.50,0.25
savoury,0.63,0.25
unappetizing,0.00,0.75
approachable,0.00,0.00
accessible,0.13,0.13
unapproachable,0.00,0.38
standoffish,0.13,0.63
appropriate,0.00,0.00
befitting,0.00,0.00
grade-appropriate,0.00,0.00
pat,0.50,0.00
right,0.00,0.00
inappropriate,0.13,0.75
unbefitting,0.00,0.63
wrong,0.00,0.88
due,0.00,0.00
callable,0.00,0.00
collect,0.00,0.00
payable,0.13,0.13
overdue,0.00,0.25
receivable,0.00,0.00
out-of-pocket,0.00,0.00
repayable,0.00,0.00
undue,0.13,0.25
due,0.75,0.00
undue,0.00,0.63
apropos,0.50,0.13
pertinent,0.38,0.25
malapropos,0.25,0.75
out_of_place,0.13,0.88
a_priori,0.25,0.00
a_posteriori,0.13,0.00
apteral,0.00,0.50
porticoed,0.38,0.00
pseudoprostyle,0.38,0.00
peripteral,0.00,0.00
monopteral,0.00,0.00
pseudoperipteral,0.00,0.00
arbitrable,0.00,0.00
nonarbitrable,0.00,0.63
columned,0.13,0.00
amphistylar,0.00,0.00
columnar,0.38,0.25
columnlike,0.00,0.00
colonnaded,0.13,0.00
pillared,0.13,0.00
uncolumned,0.00,0.50
astylar,0.00,0.25
unpillared,0.13,0.25
tree-living,0.00,0.00
nonarboreal,0.00,0.63
sandy,0.00,0.13
clayey,0.00,0.13
armed,0.25,0.13
weaponed,0.00,0.00
light-armed,0.00,0.00
militarized,0.00,0.00
unarmed,0.00,0.50
barehanded,0.13,0.00
clean,0.13,0.00
defenseless,0.00,0.13
weaponless,0.00,0.00
armoured,0.00,0.13
steel-plated,0.00,0.38
bony-plated,0.00,0.50
bulletproof,0.38,0.25
lightly_armoured,0.00,0.00
mail-cheeked,0.00,0.00
mailed,0.00,0.13
scaled,0.00,0.00
unarmoured,0.00,0.00
armed,0.00,0.13
thorny,0.00,0.38
bristlelike,0.25,0.25
brushlike,0.00,0.13
thistlelike,0.25,0.25
taloned,0.00,0.25
unarmed,0.00,0.63
thornless,0.13,0.38
armed,0.00,0.00
armlike,0.00,0.13
brachiate,0.00,0.00
long-armed,0.00,0.00
one-armed,0.00,0.00
armless,0.00,0.00
armoured,0.00,0.13
bone-covered,0.00,0.13
scaly,0.00,0.00
silver-scaled,0.00,0.00
unarmoured,0.00,0.13
scaleless,0.00,0.63
artful,0.63,0.00
wily,0.63,0.13
precious,0.63,0.00
scheming,0.13,0.00
deep,0.63,0.00
elusive,0.63,0.00
manipulative,0.25,0.00
pawky,0.13,0.25
artless,0.25,0.63
careless,0.25,0.38
articulate,0.13,0.50
smooth-spoken,0.38,0.13
speech-endowed,0.50,0.00
well-spoken,0.00,0.00
unarticulate,0.00,0.63
aphasic,0.00,0.75
voiceless,0.00,0.75
silent,0.00,0.00
dumb,0.00,0.00
tongue-tied,0.13,0.50
wordless,0.25,0.50
speechless,0.00,0.63
unarticulated,0.00,0.50
speaking,0.50,0.00
tongued,0.00,0.25
walk-on,0.00,0.50
articulated,0.00,0.63
jointed,0.00,0.00
unarticulated,0.00,0.63
unjointed,0.00,0.50
ashamed,0.00,0.75
shamed,0.00,0.50
mortified,0.00,0.50
shamefaced,0.50,0.25
sheepish,0.50,0.25
unashamed,0.25,0.25
insolent,0.75,0.13
unblushing,0.13,0.63
unembarrassed,0.00,0.38
self-assertive,0.63,0.25
cocky,0.50,0.25
forceful,0.25,0.00
unassertive,0.63,0.00
nonassertive,0.25,0.38
self-effacing,0.13,0.25
associatory,0.00,0.63
associable,0.63,0.00
nonassociative,0.00,0.13
committed,0.13,0.13
betrothed,0.25,0.00
intended,0.00,0.00
involved,0.00,0.00
uncommitted,0.00,0.75
unpromised,0.00,0.63
affixed,0.13,0.00
appendant,0.00,0.00
basifixed,0.00,0.00
pasted,0.00,0.00
mounted,0.00,0.00
unaffixed,0.00,0.25
stalkless,0.00,0.13
stalked,0.00,0.13
sessile,0.00,0.63
vagile,0.00,0.00
unattached,0.00,0.13
attached,0.00,0.00
detached,0.00,0.00
separate,0.00,0.50
semidetached,0.00,0.00
stuck,0.00,0.00
cragfast,0.00,0.00
unstuck,0.50,0.25
attachable,0.50,0.00
bondable,0.50,0.00
clip-on,0.13,0.00
tie-on,0.00,0.00
detachable,0.25,0.00
clastic,0.63,0.00
wary,0.63,0.00
upon_one's_guard,0.38,0.00
shy,0.38,0.13
unwary,0.13,0.63
gullible,0.50,0.13
unguarded,0.00,0.25
attentive,0.25,0.00
wrapped,0.25,0.13
heedful,0.50,0.00
observant,0.50,0.00
oversolicitous,0.13,0.63
solicitous,0.38,0.13
inattentive,0.25,0.38
scatty,0.38,0.13
distrait,0.00,0.25
woolgathering,0.25,0.25
yawning,0.25,0.38
oblivious,0.38,0.00
attractive,0.88,0.00
fascinating,0.50,0.00
magnetic,0.50,0.00
cute,0.50,0.00
dinky,0.50,0.00
piquant,0.88,0.00
winning,0.63,0.00
showy,0.00,0.38
spellbinding,0.38,0.00
irresistible,0.63,0.13
personable,0.63,0.00
photogenic,0.50,0.00
prepossessing,0.50,0.00
winsome,0.63,0.00
unattractive,0.50,0.25
plain,0.38,0.25
subfusc,0.13,0.25
unpresentable,0.00,0.13
attractive,0.00,0.00
repulsive,0.50,0.00
appealing,0.25,0.00
catchy,0.25,0.00
attractive,0.38,0.00
unappealing,0.13,0.63
off-putting,0.25,0.50
unattractive,0.38,0.00
attributable,0.63,0.00
referable,0.00,0.25
credited,0.00,0.00
traceable,0.00,0.00
unattributable,0.13,0.25
prenominal,0.00,0.00
attributive_genitive,0.00,0.00
predicative,0.00,0.00
pregnant,0.00,0.00
with_child,0.00,0.00
nonpregnant,0.00,0.13
hearable,0.38,0.00
clunky,0.00,0.00
sonic,0.00,0.00
sounding,0.00,0.00
unhearable,0.13,0.50
voiceless,0.13,0.00
infrasonic,0.38,0.00
silent,0.00,0.00
unsounded,0.00,0.63
ultrasonic,0.38,0.00
unheard,0.25,0.00
transonic,0.00,0.00
subsonic,0.00,0.00
supersonic,0.00,0.00
auspicious,0.63,0.00
promising,0.00,0.38
rosy,0.75,0.00
unfortunate,0.11,0.89
unpromising,0.13,0.50
propitious,0.50,0.00
prosperous,0.75,0.00
gracious,0.38,0.00
unpropitious,0.00,0.63
ominous,0.25,0.75
thunderous,0.13,0.88
authorized,0.00,0.38
licensed,0.00,0.00
sanctioned,0.00,0.00
glorified,0.13,0.13
sceptred,0.00,0.00
unauthorized,0.00,0.88
self-appointed,0.00,0.00
unlicensed,0.00,0.25
constitutional,0.00,0.00
unconstitutional,0.00,0.75
autochthonous,0.00,0.00
allochthonous,0.00,0.00
homoecious,0.00,0.00
heteroecious,0.00,0.00
autogenous,0.00,0.00
self-produced,0.00,0.00
self-induced,0.00,0.63
heterogenous,0.00,0.00
automatic,0.00,0.00
semiautomatic,0.38,0.00
machine-driven,0.00,0.00
self-regulating,0.00,0.00
self-locking,0.00,0.00
self-winding,0.00,0.00
semiautomatic,0.00,0.00
smart,0.50,0.00
manual,0.13,0.38
non-automatic,0.00,0.00
available,0.38,0.00
accessible,0.13,0.00
acquirable,0.63,0.00
addressable,0.63,0.00
easy,0.13,0.00
forthcoming,0.13,0.00
procurable,0.63,0.00
in_stock,0.00,0.00
lendable,0.25,0.00
visible,0.38,0.00
on_hand,0.38,0.00
on_tap,0.00,0.00
on_tap,0.00,0.00
open,0.00,0.50
purchasable,0.00,0.00
ready,0.00,0.00
unavailable,0.38,0.50
untouchable,0.00,0.63
out_of_stock,0.00,0.63
awake,0.13,0.50
up,0.00,0.00
awakened,0.00,0.00
watchful,0.00,0.63
wide-awake,0.13,0.38
waking,0.25,0.25
asleep,0.00,0.00
at_rest,0.00,0.00
torpid,0.00,0.00
drowsy,0.00,0.00
sound_asleep,0.00,0.13
hypnoid,0.00,0.00
sleepyheaded,0.00,0.00
somnolent,0.50,0.13
unawakened,0.00,0.25
astringent,0.13,0.25
styptic,0.13,0.38
nonastringent,0.00,0.38
cognizant,0.50,0.00
awake,0.63,0.00
conscious,0.63,0.00
sensible,0.63,0.00
unaware,0.00,0.25
unmindful,0.13,0.25
unconscious,0.00,0.75
unsuspecting,0.00,0.63
witting,0.38,0.00
unwitting,0.00,0.63
alarming,0.00,0.50
dismaying,0.00,0.50
ugly,0.00,0.63
terrible,0.00,0.63
threatening,0.00,0.75
nightmarish,0.25,0.63
shuddery,0.00,0.75
creepy-crawly,0.00,0.50
unnerving,0.63,0.00
sick,0.25,0.63
hairy,0.00,0.25
petrifying,0.00,0.25
stupefying,0.25,0.13
terrifying,0.00,0.63
unalarming,0.25,0.25
anemophilous,0.00,0.00
entomophilous,0.00,0.00
reassuring,0.50,0.00
soothing,0.38,0.13
assuring,0.50,0.00
consoling,0.50,0.50
worrisome,0.25,0.50
back,0.00,0.00
rearmost,0.00,0.00
rearward,0.00,0.00
front,0.00,0.00
in_advance,0.00,0.00
frontmost,0.00,0.00
head-on,0.00,0.00
leading,0.38,0.00
guiding,0.00,0.00
guiding,0.00,0.00
following,0.00,0.00
pursuing,0.00,0.00
backed,0.00,0.00
hardcover,0.00,0.13
high-backed,0.13,0.00
low-backed,0.00,0.13
razorback,0.00,0.00
spiny-backed,0.00,0.13
stiff-backed,0.00,0.00
straight-backed,0.00,0.00
backless,0.00,0.25
low-cut,0.00,0.00
backward,0.00,0.00
sweptback,0.00,0.00
retroflex,0.00,0.00
transposed,0.00,0.00
reverse,0.13,0.00
reverse,0.00,0.00
receding,0.00,0.00
self-referent,0.00,0.00
regardant,0.00,0.00
retracted,0.00,0.00
retrograde,0.00,0.50
retroflexed,0.00,0.00
reversive,0.38,0.38
forward,0.00,0.00
guardant,0.00,0.00
headlong,0.13,0.00
forward,0.00,0.00
reverse,0.00,0.13
backward,0.50,0.00
blate,0.25,0.00
forward,0.25,0.25
nervy,0.00,0.50
self-assertive,0.00,0.50
overfamiliar,0.00,0.13
wise,0.00,0.13
presumptuous,0.00,0.50
